-141: (zagon)
"PreklMasaTlZ[bar]"		low
"MaxMasaTl[bar]"		low
"OljeZ14[°C]"			high
"Cilind.Z 1[°C]"		high
"Cilind.Z 2[°C]"		high
"Cilind.Z 3[°C]"		high
"Cilind.Z 4[°C]"		low
"Temp104[°C]"			lowest
"Temp106[°C]"			low
"Oro-grZ 1[°C]"			lowest
"Temp103[°C]"			lowest
"ZS vzpčas C[s]"		lowest
"AgrNazčas C[s]"		lowest
"Or Zapcas C[s]"		lowest
"NaknTlčas C[s]"		highest
"TB-poz1NS zgoraj[mm]"		lowest
"TB-poz3NS spodaj[mm]"		lowest
"TB-poz2NS spodaj[mm]"		lowest
"TB-poz2US spodaj[mm]"		lowest
"TB-poz3US zgoraj[mm]"		lowest
"TB-poz3NS zgoraj[mm]"		lowest
"TB-poz1US spodaj[mm]"		lowest
"TB-poz2US zgoraj[mm]"		lowest
"TB-poz2NS zgoraj[mm]"		lowest
"TB-poz1NS spodaj[mm]"		lowest
"TB-poz1US zgoraj[mm]"		lowest
"TB-poz3US spodaj[mm]"		lowest
"Max PoHitBriz[mm/s]"		low
"Max PoMasaTl[bar]"		low
"PovršMasaTl[bar*s]"		low

==================================

-144: (ponovni zagon)

"Brizg-čas C[s]"		high
"Plast-čas C[s]"		high
"Plast-hod C[mm]"		high
"MaxMasaTl[bar]"		low
"Potprekl Z[mm]"		high
"OljeZ14[°C]"			low
"Temp101[°C]"			high
"Temp103[°C]"			lowest
"Temp102[°C]"			high
"Or Zapcas C[s]"		high
"TB-poz1NS zgoraj[mm]"		high
"TB-poz3NS spodaj[mm]"		high
"TB-poz2NS spodaj[mm]"		high
"TB-poz2US spodaj[mm]"		high
"TB-poz3US zgoraj[mm]"		high
"TB-poz3NS zgoraj[mm]"		high
"TB-poz1US spodaj[mm]"		high
"TB-poz2US zgoraj[mm]"		high
"TB-poz2NS zgoraj[mm]"		high
"TB-poz1NS spodaj[mm]"		high
"TB-poz1US zgoraj[mm]"		high
"TB-poz3US spodaj[mm]"		high
"PovršPotBriz[mm*s]"		high
"Max PoMasaTl[bar]"		low

==================================

-1: (nezalito, nedolito)
"Brizg-čas C[s]"		high
"Plast-čas C[s]"		high
"Plast-hod C[mm]"		high
"MaxMasaTl[bar]"		low
"Potprekl Z[mm]"		high
"OljeZ14[°C]"			low
"Temp101[°C]"			high
"Temp103[°C]"			lowest
"Temp102[°C]"			high
"Or Zapcas C[s]"		high
"TB-poz1NS zgoraj[mm]"		high
"TB-poz3NS spodaj[mm]"		high
"TB-poz2NS spodaj[mm]"		high
"TB-poz2US spodaj[mm]"		high
"TB-poz3US zgoraj[mm]"		high
"TB-poz3NS zgoraj[mm]"		high
"TB-poz1US spodaj[mm]"		high
"TB-poz2US zgoraj[mm]"		high
"TB-poz2NS zgoraj[mm]"		high
"TB-poz1NS spodaj[mm]"		high
"TB-poz1US zgoraj[mm]"		high
"TB-poz3US spodaj[mm]"		high
"PovršPotBriz[mm*s]"		high
"Max PoMasaTl[bar]"		low

==================================

-4: (počeno, zvito, deformirano)
"Brizg-čas C[s]"		low
"Plast-čas C[s]"		low
"Plast-hod C[mm]"		low
"PrirobnZ15[°C]"		high
"Cilind.Z 1[°C]"		highest
"Cilind.Z 2[°C]"		highest
"Cilind.Z 3[°C]"		highest
"Cilind.Z 4[°C]"		highest
"Cilind.Z 5[°C]"		highest
"Cilind.Z 6[°C]"		low
"Temp106[°C]"			low
"ZS vzpčas C[s]"		low
"Časpavze Z[s]"			low
"NaknTlčas C[s]"		low
"TB-poz1NS zgoraj[mm]"		low
"TB-poz1US spodaj[mm]"		low
"TB-poz1NS spodaj[mm]"		low
"TB-poz1US zgoraj[mm]"		low
"Max PoPotBriz[mm]"		low
"PovršPotBriz[mm*s]"		low
"PovršMasaTl[bar*s]"		low

===================================

-5: (opraskano)
"Masa-blazin.[mm]"		lowest
"OljeZ14[°C]"			low
"Cilind.Z 1[°C]"		highest
"Cilind.Z 2[°C]"		highest
"Cilind.Z 2[°C]"		highest
"Cilind.Z 3[°C]"		highest
"Cilind.Z 4[°C]"		highest
"Cilind.Z 5[°C]"		highest
"Cilind.Z 6[°C]"		low
"OljeZ14[°C]"			low
"Temp101[°C]"			highest
"Temp102[°C]"			highest
"Temp104[°C]"			highest
"Temp106[°C]"			high
"Temp105[°C]"			highest
"ZS razgčas C[s]"		highest
"Čas hlajenja Z[s]"		high
"TB-poz1NS zgoraj[mm]"		high
"TB-poz3NS spodaj[mm]"		high
"TB-poz2NS spodaj[mm]"		high
"TB-poz2US spodaj[mm]"		high
"TB-poz3US zgoraj[mm]"		high
"TB-poz3NS zgoraj[mm]"		high
"TB-poz1US spodaj[mm]"		high
"TB-poz2US zgoraj[mm]"		high
"TB-poz2NS zgoraj[mm]"		high
"TB-poz1NS spodaj[mm]"		high
"TB-poz1US zgoraj[mm]"		high
"TB-poz3US spodaj[mm]"		high
"Max PoHitBriz[mm/s]"		lowest
"PovršHitBriz[mm/s*s]"		lowest
"PovršMasaTl[bar*s]"		lowest

==================================

-6: (tujki)
"Brizg-čas C[s]"		highest
"Plast-čas C[s]"		highest
"Plast-hod C[mm]"		highest
"PrirobnZ15[°C]"		highest
"PreklMasaTlZ[bar]"		highest
"MaxMasaTl[bar]"		highest
"Cilind.Z 11[°C]"		highest
"Cilind.Z 1[°C]"		highest
"Cilind.Z 2[°C]"		highest
"Cilind.Z 2[°C]"		lowest
"Cilind.Z 3[°C]"		highest
"Cilind.Z 4[°C]"		highest
"Cilind.Z 6[°C]"		highest
"Temp101[°C]"			highest
"Oro-grZ 1[°C]"			highest
"Temp103[°C]"			lowest
"Cilind.Z 5[°C]"		highest
"Temp101[°C]"			lowest
"Temp102[°C]"			highest
"Temp102[°C]"			lowest
"Temp105[°C]"			lowest
"Temp106[°C]"			lowest
"Oro-grZ 2[°C]"			highest
"OrOdpircas C[s]"		highest
"Or Zapcas C[s]"		highest
"ZS razgčas C[s]"		high
"ZapahIzčas C[s]"		highest
"Časpavze Z[s]"			lowest
"Čas hlajenja Z[s]"		lowest
"Or Zapcas C[s]"		lowest
"TB-poz1NS zgoraj[mm]"		highest
"TB-poz3NS spodaj[mm]"		highest
"TB-poz2NS spodaj[mm]"		highest
"TB-poz2US spodaj[mm]"		highest
"TB-poz3US zgoraj[mm]"		highest
"TB-poz3NS zgoraj[mm]"		highest
"TB-poz1US spodaj[mm]"		highest
"TB-poz2US zgoraj[mm]"		highest
"TB-poz2NS zgoraj[mm]"		highest
"TB-poz1NS spodaj[mm]"		highest
"TB-poz1US zgoraj[mm]"		highest
"TB-poz3US spodaj[mm]"		highest
"Max PoPotBriz[mm]"		highest
"Max PoMasaTl[bar]"		highest
"PovršPotBriz[mm*s]"		highest
"PovršMasaTl[bar*s]"		highest

==================================

-172: (U - zanka)
"PreklMasaTlZ[bar]"		lowest
"MaxMasaTl[bar]"		lowest
"PrirobnZ15[°C]"		highest
"Cilind.Z 1[°C]"		high
"Cilind.Z 2[°C]"		high
"Cilind.Z 3[°C]"		high
"Cilind.Z 4[°C]"		high
"Cilind.Z 5[°C]"		high
"Cilind.Z 6[°C]"		low
"Temp101[°C]"			lowest
"Temp103[°C]"			highest
"Temp102[°C]"			lowest
"ZS razgčas C[s]"		highest
"ZS vzpčas C[s]"		highest
"Čas hlajenja Z[s]"		highest
"NaknTlčas C[s]"		highest
"Max PoMasaTl[bar]"		low
"Maks FKrivRez 5[bar]"		high
"OrOdpircas C[s]"		low

==================================

-428: (crne pike)
"Plast-čas C[s]"		lowest
"Plast-hod C[mm]"		lowest
"PrirobnZ15[°C]"		highest
"PovršPotBriz[mm*s]"		lowest
"Cilind.Z 1[°C]"		high
"Cilind.Z 2[°C]"		high
"Cilind.Z 3[°C]"		high
"Cilind.Z 4[°C]"		high
"Cilind.Z 5[°C]"		high
"Cilind.Z 6[°C]"		low
"ZS vzpčas C[s]"		low
"Časpavze Z[s]"			low
"NaknTlčas C[s]"		low
"Max PoPotBriz[mm]"		lowest
"TB-poz1NS spodaj[mm]"		lowest
"PovršPotBriz[mm*s]"		lowest
"PovršMasaTl[bar*s]"		low

==================================

-23: (nitke)
"Brizg-čas C[s]"		highest
"Plast-čas C[s]"		highest
"Plast-hod C[mm]"		highest
"PreklMasaTlZ[bar]"		low
"MaxMasaTl[bar]"		low
"Potprekl Z[mm]"		high
"OljeZ14[°C]"			low
"PrirobnZ15[°C]"		high
"Cilind.Z 11[°C]"		high
"Cilind.Z 1[°C]"		highest
"Cilind.Z 2[°C]"		highest
"Cilind.Z 3[°C]"		highest
"Cilind.Z 4[°C]"		highest
"Cilind.Z 5[°C]"		highest
"Cilind.Z 6[°C]"		highest
"Temp101[°C]"			highest
"Temp102[°C]"			highest
"Temp103[°C]"			lowest
"Časpavze Z[s]"			low
"Or Zapcas C[s]"		highest
"TB-poz1NS zgoraj[mm]"		highest
"TB-poz2NS spodaj[mm]"		highest
"TB-poz2US spodaj[mm]"		highest
"TB-poz3US zgoraj[mm]"		highest
"TB-poz3NS zgoraj[mm]"		highest
"TB-poz1US spodaj[mm]"		highest
"TB-poz2US zgoraj[mm]"		highest
"TB-poz2NS zgoraj[mm]"		highest
"TB-poz1NS spodaj[mm]"		highest
"TB-poz1US zgoraj[mm]"		highest
"TB-poz3US spodaj[mm]"		highest
"PovršPotBriz[mm*s]"		highest

==================================

-15: (meglica)
"Masa-blazin.[mm]"		high
"Plast-hod C[mm]"		highest
